#-t-Fk-Fk2-stdev-sterr
0.000000 1.0000000000 -nan -nan
0.010000 1.0000070441 0.0001398934 0.0000224009
0.020000 0.9999810836 0.0002774299 0.0000444243
0.030000 0.9999229264 0.0004131123 0.0000661509
0.040000 0.9998350349 0.0005470128 0.0000875922
0.050000 0.9997209381 0.0006786869 0.0001086769
0.060000 0.9995845960 0.0008071068 0.0001292405
0.070000 0.9994298996 0.0009307485 0.0001490390
0.080000 0.9992603568 0.0010480710 0.0001678257
0.090000 0.9990791001 0.0011580701 0.0001854396
0.100000 0.9988892810 0.0012604110 0.0002018273
0.110000 0.9986944073 0.0013551045 0.0002169904
0.120000 0.9984981241 0.0014421324 0.0002309260
0.130000 0.9983036166 0.0015213587 0.0002436124
0.140000 0.9981132924 0.0015928547 0.0002550609
0.150000 0.9979289307 0.0016572953 0.0002653796
0.160000 0.9977520012 0.0017159642 0.0002747742
0.170000 0.9975838470 0.0017704357 0.0002834966
0.180000 0.9974257842 0.0018222497 0.0002917935
0.190000 0.9972791192 0.0018726955 0.0002998713
0.200000 0.9971448228 0.0019226745 0.0003078743
0.210000 0.9970229664 0.0019727118 0.0003158867
0.220000 0.9969122633 0.0020231586 0.0003239647
0.230000 0.9968101904 0.0020743501 0.0003321619
0.240000 0.9967138006 0.0021266970 0.0003405441
0.250000 0.9966207603 0.0021806756 0.0003491876
0.260000 0.9965299966 0.0022367302 0.0003581635
0.270000 0.9964418666 0.0022951714 0.0003675216
0.280000 0.9963578473 0.0023558292 0.0003772346
0.290000 0.9962797851 0.0024175612 0.0003871196
0.300000 0.9962089427 0.0024781912 0.0003968282
0.400000 0.9959043908 0.0028445250 0.0004554885
0.500000 0.9955454357 0.0028181627 0.0004512672
0.600000 0.9950780828 0.0033626907 0.0005384614
0.700000 0.9947693203 0.0038414182 0.0006151192
0.800000 0.9943624296 0.0035778219 0.0005729100
0.900000 0.9946424216 0.0031386749 0.0005025902
1.000000 0.9947468345 0.0031263942 0.0005006237
1.100000 0.9946030807 0.0032684793 0.0005233756
1.200000 0.9940627558 0.0035381574 0.0005665586
1.300000 0.9937731354 0.0033487275 0.0005362256
1.400000 0.9937212513 0.0032751377 0.0005244418
1.500000 0.9932622728 0.0039561467 0.0006334905
1.600000 0.9930108451 0.0041794935 0.0006692546
1.700000 0.9928337216 0.0040170501 0.0006432428
1.800000 0.9924932304 0.0040342355 0.0006459947
1.900000 0.9922441427 0.0042600295 0.0006821507
2.000000 0.9922304661 0.0043442805 0.0006956416
2.100000 0.9921025471 0.0040670127 0.0006512432
2.200000 0.9915362636 0.0037193755 0.0005955767
2.300000 0.9912160442 0.0039912451 0.0006391107
2.400000 0.9915144676 0.0044768628 0.0007168718
2.500000 0.9916598057 0.0047895638 0.0007669440
2.600000 0.9915680654 0.0048779590 0.0007810986
2.700000 0.9913886046 0.0052078630 0.0008339255
2.800000 0.9909587554 0.0051383710 0.0008227979
2.900000 0.9908492862 0.0050039705 0.0008012766
3.000000 0.9907880522 0.0048941985 0.0007836990
4.000000 0.9899933736 0.0057139917 0.0009149709
5.000000 0.9883964968 0.0061138480 0.0009789992
6.000000 0.9870571755 0.0075057980 0.0012018896
7.000000 0.9866184410 0.0074623767 0.0011949366
8.000000 0.9851351445 0.0083124868 0.0013310632
9.000000 0.9851768654 0.0077363471 0.0012388070
10.000000 0.9842917080 0.0073682915 0.0011798709
11.000000 0.9821379300 0.0080392041 0.0012873029
